id,slug,title,artist,inLibrary,bpm,bpmZone,keySignature,energyLevel,danceabilityNormalized,durationSeconds,primaryGenre,folders,playlists,file
153b1697-8f24-4ce1-8705-774e23075e8b,sergik-it-is-what-it-is--153b1697,"SERGIK  - It Is What It Is","SERGIK",false,123.05,house,C minor,4.1,0.7,234,"Experimental Bass","","",tracks/sergik-it-is-what-it-is--153b1697.json
c100dd35-0b97-4304-9262-44343823e76d,sergik-make-it-bounce--c100dd35,"SERGIK  - Make it Bounce","SERGIK",true,123.05,house,C minor,4.3,0.77,259,"Experimental Bass","Party Time","Party Time",tracks/sergik-make-it-bounce--c100dd35.json
7a71a273-996a-4102-b1da-28e2ef7bb3dc,sergik-make-it-bounce-pre-master--7a71a273,"SERGIK  - Make it Bounce Pre-Master","SERGIK",true,123.05,house,C minor,2.9,0.72,259,"Experimental Bass","Party Time","Party Time",tracks/sergik-make-it-bounce-pre-master--7a71a273.json
4d6c65bb-1f3b-4d85-a654-fc47d0073f8c,sergik-24-7-vip-1--4d6c65bb,"SERGIK - 24_7 VIP 1","SERGIK",true,123.05,house,G major,2,0.68,203,"Reggae","Deep n Funky","Deep n Funky",tracks/sergik-24-7-vip-1--4d6c65bb.json
8f8446cf-ea1d-4437-967f-41da1148b9ee,sergik-24-7-vip-2--8f8446cf,"SERGIK - 24_7 VIP 2","SERGIK",true,123.05,house,A minor,3.7,0.75,203,"Reggae","Deep n Funky","Deep n Funky",tracks/sergik-24-7-vip-2--8f8446cf.json
94be4c95-2b13-4eca-8d25-ca7faf2ed34b,sergik-49ers-move-your-feet-remix--94be4c95,"SERGIK - 49ers - Move Your Feet (remix)","SERGIK",true,123.05,house,G minor,3.6,0.74,250,"Funky House","Feelin Sendy","Feelin Sendy",tracks/sergik-49ers-move-your-feet-remix--94be4c95.json
47d07121-e1a0-4928-907b-94137a9dab1c,sergik-49ers-move-your-feet-remix--47d07121,"SERGIK - 49ers - Move Your Feet (remix)","SERGIK",false,123.05,house,G minor,3.6,0.74,250,"Funky House","","",tracks/sergik-49ers-move-your-feet-remix--47d07121.json
2a1c7232-2026-4af9-9ec5-f8f306ad29b8,sergik-6-hours-in--2a1c7232,"SERGIK - 6 Hours In","SERGIK",true,123.05,house,C major,3.6,0.74,232,"Funky House","Funktioneers","Funktioneers",tracks/sergik-6-hours-in--2a1c7232.json
9ebfe63d-6ca3-4bd0-a252-3078efe8b742,sergik-6-hours-in-v2--9ebfe63d,"SERGIK - 6 Hours In v2","SERGIK",true,129.2,tech_house,B major,3.5,0.74,229,"Reggae","Funktioneers","Funktioneers",tracks/sergik-6-hours-in-v2--9ebfe63d.json
20c7ff8d-4b84-4d69-9e01-01b1900555d3,sergik-90s-baby--20c7ff8d,"Sergik - 90s Baby","SERGIK",true,123.05,house,Unknown,2.6,0.7,224,"Experimental Bass","Deep n Funky","Deep n Funky",tracks/sergik-90s-baby--20c7ff8d.json
